,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[6250.015382743903, 33116.782092750094, 14312.351802690744, 1364.8506353345983, 9497.71578436863]","[18079.21442947882, 77323.66101997845, 12177.159577896367, 5165.968417313611, 8132.67286145051]","[4116.471339556877, 26412.532661644247, 17429.51674175712, 1866.855582563095, 10664.06573762463]","[14461.415251151459, 5860.962638736442, 12369.172984569423, 2901.4162124423688, 6746.902593248709]","[357056.7810365575, 953599.4068926184, 321593.61385651404, 9176.345873552074, 42400.98767993235]","[9739.757416943108, 29917.414571526653, 8926.036329668957, 4508.536567997136, 9024.195475136226]","[5418.628454583062, 100244.71564048578, 18645.442247971547, 1264.3560370891398, 12377.910553049931]","[9038.667472997178, 40959.541863031794, 19652.44307466426, 2810.9516729280067, 11273.050865649135]","[6276.111164615278, 29410.710790350266, 14889.693593461428, 1951.7236942822017, 9316.971249398122]","[40067.150099416736, 32895.43486176802, 12234.876247869593, 8353.780133407314, 4917.6870158559395]","[35183.038568704935, 100988.19440133483, 3589.7859759721673, 5277.689313793034, 8532.820573736313]","[37713.86826181283, 42296.08590657442, 2604.6237083239034, 6066.839639946596, 12585.82246480775]","[7968.109520235351, 9813.087860446194, 12381.510427816065, 1486.3082479195484, 7171.85913400751]"
ETH,"[399.0598077741562, 3185.6032062180648, 1757.8762674687096, 152.6883180018804, 515.4337950469319]","[612.9513998326946, 3051.755139520936, 2232.8872354112414, 513.3517218407986, 619.5286493770667]","[564.1336442457417, 6200.210292742463, 2008.3362407134189, 277.67266662160495, 536.2833900159243]","[933.8517010504831, 714.9329501111148, 689.7150164575164, 199.70093946043937, 369.97021417857127]","[12948.321968606035, 32482.48714310424, 2353.4654374126667, 769.1024700520693, 1108.0615689317742]","[908.382724262338, 5545.3981367699225, 1655.4377402684418, 305.5901019139041, 361.99650474754907]","[641.194544838043, 3832.0932930314643, 2023.262263174166, 146.91192899948155, 602.5686662826971]","[744.4443650102622, 3026.219269638529, 4034.1588537792213, 384.9743132200913, 733.6981938495672]","[992.6115530170794, 2835.9941675302885, 1892.070376134384, 154.0170881030861, 626.3760055288346]","[1038.7810578122353, 2469.979582919246, 3086.4646579668242, 530.3581925688667, 852.3830749653404]","[6279.342474493182, 6707.591196723343, 333.39530870571076, 233.03738177724367, 522.228230512883]","[1657.638327023167, 1001.4421182682983, 249.784964244262, 150.7682176990453, 576.0350558976253]","[673.0039494659403, 1481.726024646685, 1090.5302749011419, 143.92236208744603, 424.38233728454253]"
BNB,"[71.30032943898576, 746.6297271777328, 166.0807995950608, 35.74160863089508, 69.87874795893114]","[137.92471626862638, 730.3473639779475, 76.38356251542457, 38.20493322744053, 46.83577962128207]","[69.59330727687224, 578.476297355931, 209.64638664406067, 22.222612799146358, 62.342039053010794]","[55.68177113854975, 122.90146599670533, 90.89770113138385, 34.67502532630911, 24.44648054343376]","[151.0377245648768, 622.6868142575296, 9177.51752910385, 47.92348739426878, 52.59900762081045]","[8201.784148734829, 278.4012058231428, 288.5424385977886, 171.56243119609863, 73.25758870355448]","[57.75259972580983, 402.36120882232, 144.83892420349298, 28.533693353893195, 55.95200531653429]","[81.03770642474305, 390.0921303661922, 241.26884214132517, 41.84423833929773, 89.24982054014482]","[192.99896267687376, 1139.8063093410306, 80.08624310719733, 25.307017726587365, 86.17520381019713]","[294.11959656749104, 263.5390409214301, 631.404877275256, 108.64068447466684, 42.24415767478249]","[131.09504559263027, 1008.5738775062143, 112.07009693265533, 47.77829848570676, 135.66540060074385]","[1131.2931426854675, 344.23676884678963, 58.05579428482181, 90.59692897799013, 105.83962510472777]","[58.73968284498767, 201.74820896002123, 115.73670248402253, 23.769340926565707, 34.11925128679512]"
XRP,"[0.3112734975635906, 0.23458895603586657, 0.33892465741932487, 0.10674170206339006, 0.09471301200943952]","[0.25273535896944443, 0.27990008077021805, 0.45630458883315184, 0.1601943575652839, 0.12981524976708797]","[0.3006494626093211, 0.29072577319133186, 0.487739784593554, 0.16166900858841976, 0.13797239464153713]","[0.26424504048724784, 0.38606665245089355, 0.23187111707738015, 0.12207284129838533, 0.08488632419995586]","[0.752871076646279, 0.4763891908597343, 1.5186058024421103, 0.5419174164835792, 0.21547297558704573]","[0.5050077863930017, 0.7007321685756597, 0.7507609626542637, 0.08636168008327862, 0.0502470059916164]","[0.3867034013559518, 0.2463076135549425, 0.3748470811424241, 0.12897261695561138, 0.07848153272327715]","[0.29910588055008036, 1.7449474625314685, 0.3997911635983226, 0.11910407647472826, 0.13100613684626938]","[0.4014896235736888, 0.12697464093310756, 0.5095458899896037, 0.09170789052488218, 0.11124180783091955]","[0.6783963912138427, 0.46677781174239774, 0.2470097394452512, 0.2288708070238723, 0.09819766726558499]","[0.8899070408682587, 0.7059308178906888, 0.21649675404226285, 0.6717756101131284, 0.08119545924710779]","[0.7397767877621496, 0.4546823583930596, 0.07188282448008715, 0.15922232806424544, 0.0773073256884515]","[0.40782365151273825, 0.13385759023954816, 0.24715609587499598, 0.11232522626717695, 0.06233973683009143]"
ADA,"[0.6946508051845852, 0.857548581101125, 0.5553799694183414, 0.03175835648370177, 0.10589174138277192]","[0.37724328343544805, 3.2426407342100725, 1.1032118135910862, 0.13989628482354521, 0.11184609193441951]","[0.7332973673950203, 1.1096617844883612, 0.5051151641121847, 0.035639457121449135, 0.11693513211610038]","[0.5157809450864624, 0.2569299177093974, 0.1338006648830232, 0.038270041126270374, 0.07469412284376988]","[1.8723441035333273, 1.9556785674408357, 0.4080129841042478, 0.7106956071685883, 0.1814698905550804]","[0.6729388377184443, 2.0377375124514976, 0.7096404411127333, 0.04400392118942221, 0.07840875011508049]","[0.9161631485669651, 2.803119001191509, 1.0588413696254848, 0.03820600658005947, 0.08607711809548588]","[0.6510682021475137, 1.4951071032415515, 0.4920504457201005, 0.052433271063122795, 0.1090997779829348]","[0.8470381346506834, 1.964511642713836, 0.7373453530575028, 0.06624874442415764, 0.14050501745643054]","[0.9354801976482117, 2.9609059958381274, 0.16629791234431274, 0.14753288228026465, 0.2077121595042621]","[0.8114791096641967, 0.2002965143551303, 0.22685272865725323, 0.15907143167378532, 0.16340472386499394]","[0.8174420531754022, 0.18722539845957364, 0.12505535866403464, 0.10525847336014425, 0.13981077666144823]","[0.5991668111811284, 0.24862524366042724, 0.3533906847254812, 0.037054335989645894, 0.09535833423180713]"
DOGE,"[0.05213691045071724, 0.0883613589585625, 0.06282354771316398, 0.03078242861483627, 0.017624627472581353]","[0.0486676520260889, 0.0780340943246383, 0.09172633034250928, 0.03634430891162912, 0.029823686696479213]","[0.21543043012795546, 0.21139906160317293, 0.06715224468632663, 0.03355448839036514, 0.014718009857168387]","[0.120822192936751, 0.019735117098198744, 0.021439826474783524, 0.01911039374346484, 0.046315042652489355]","[0.12015754160266011, 1.918804449367888, 0.15036381394570597, 0.05562357672558696, 0.04821909928069766]","[0.5167367383990086, 0.39105376902874395, 0.037070395161721566, 0.02877988375848114, 0.011816614091916734]","[0.3223496657291917, 12.447114860035047, 0.8822555853274032, 0.037771906537182494, 0.032818202170353]","[0.9536539156316542, 1.2422092584375226, 0.06494011509275234, 0.030044874179602006, 0.013101798605899833]","[1.4886910680993972, 0.3781090953595207, 0.018136378290905825, 0.04006099756982388, 0.02681378510363419]","[0.3554036578077917, 0.5559127123288852, 0.0698469660741402, 0.03860988998599292, 0.02189308682808072]","[250.32315998781388, 377.96047173799724, 0.5694794158045224, 0.10415163640402168, 0.2552567978110605]","[0.2548286481640676, 0.06142137973627074, 0.07365644380990981, 0.02895152900376766, 0.034075757230417836]","[0.09549376444427461, 0.04665616227872613, 0.03250807904121379, 0.03225776252000737, 0.02291132841470966]"
MATIC,"[0.557937961683451, 1.1337001817492445, 1.4667181535346951, 0.11678802835924185, 0.2404413757552655]","[0.4315475625087459, 0.8729155051134694, 1.3743962424669045, 0.20457080088087956, 1.1114180532672928]","[0.7152060108298249, 2.6262225821465326, 51.717463064087184, 0.15382434840213222, 0.32863055306747835]","[0.7710812652105923, 0.41482954562301455, 0.3338224365830365, 0.33946515313207165, 0.15761181617266418]","[0.9905191386515242, 0.7196748344496625, 507.8650814001117, 3.5674741243447095, 2.6017608442561864]","[0.4378638848212113, 1.9196851796602952, 2.0183951554986783, 0.18444101192088905, 0.7615421301729491]","[1.2840641889423392, 5.081511698350718, 9.629630831188674, 0.23325049090233244, 0.4815355830807086]","[196.40996147171626, 94.19885664756191, 916.8947856644778, 0.30242909044689026, 3.628901197331423]","[2.429520538119304, 5.150301962111936, 1.6881669174270197, 0.28340464278784394, 0.38447475322125585]","[2.1413903798636147, 1.5193006196765462, 1.4357441554917765, 0.5785445299281273, 0.36420633873369773]","[0.22314284117269823, 33.25840513473494, 1.424506332052544, 2.7103698598640094, 2.223629791919965]","[0.4887388439924005, 0.8951670255507762, 4.0061035964326175, 0.4142412752563161, 0.5482954754350859]","[0.45671307890813095, 0.658937200483525, 0.6399574033468448, 0.1089905429507089, 0.2114285864555987]"
LINK,"[7.0771403345717205, 11.502374627329441, 9.40183713908927, 1.19748636738527, 1.062088005095021]","[6.346242982590547, 14.25942668492484, 4.353971515231174, 1.209602139804497, 0.8959325573400344]","[7.935750804607106, 11.3312050945994, 7.1381120135174205, 2.4861795614368973, 1.4470271891000543]","[8.815611191373021, 4.294689401519823, 3.340751152201626, 1.7650185440155906, 0.9380584278686687]","[20.64371192530413, 3.5017381559070078, 2.2935203474164205, 1.1817037277897082, 3.6025729702479388]","[6.708723651357913, 13.169899327001042, 9.058520659408924, 2.9096915022174525, 0.7790119137446705]","[6.526118052561526, 7.025212992386942, 6.401167325248415, 2.1677438039694206, 1.3748514573511652]","[8.494115706803413, 30.114251309849013, 11.539856569457658, 0.9369894776554993, 1.4754287474520542]","[5.35928880082714, 65.07370136448023, 10.547515237195297, 2.654076759622838, 0.8091907289698649]","[9.592742266854776, 14.23197586971367, 8.37824757068694, 4.5157058212360415, 2.4624727050892723]","[431.58627832276215, 12.022026483230773, 5.0849885126569925, 3.1537406498271627, 25.54823781532903]","[11.374352940418067, 3.9465444982500326, 1.343068711558406, 4.002581166011292, 3.9629484154844907]","[6.556755922751356, 5.460111932647491, 4.853140621656042, 1.6319681119625802, 0.7953078464352507]"
ETC,"[16.88066439221166, 30.4644395623863, 26.033926226715028, 11.624977180844434, 5.3263612345553195]","[24.86062273883871, 24.978159999699525, 67.29222417716795, 4.478740392110983, 7.92179082629702]","[19.227837597378894, 19.837232810118515, 27.782972052995827, 5.839575860090822, 6.702064144587549]","[67.50157920830715, 20.479688896272325, 6.6061279997794795, 8.263631110430822, 1.7201813806032185]","[247.71644838192347, 6.644460973177866, 27.5725665913575, 20.75108471932191, 1.563831174536048]","[21.97787664436197, 30.987780390154015, 35.32091564862892, 7.137723524325641, 7.706292996612472]","[8.724438593709545, 10.511035953408092, 12.104775697332245, 3.515014552270011, 67.03496270367614]","[28.382978755775397, 30.803450902876996, 33.22745639493703, 3.3361338260408697, 2.933797524699458]","[18.62807158382846, 18.273074931383732, 19.079602109663668, 9.751448486065813, 7.507039826591213]","[47.75017200348852, 25.533648941566547, 20.313136262042388, 21.647274723304893, 12.94639631490415]","[7.257430817002994, 15.939974918329296, 6.883930573037378, 9.000310437510095, 2.1016874082747967]","[26.729961893821134, 14.440444023551047, 6.142365730651876, 51.99665166709566, 20.232902731943245]","[18.57186436464525, 11.793283028938474, 16.857302341222347, 14.358548175654676, 3.7707570960873547]"
XLM,"[0.10801485544348045, 0.07505255230931424, 0.08423574039309971, 0.013665049573747801, 0.02457994203380372]","[0.08222323045847568, 0.164266354819387, 0.12158441403907645, 0.013899517601049082, 0.04425301075855915]","[0.04714544839275414, 0.13911033371934936, 0.08752441314245088, 0.022236162741058208, 0.027287087920709933]","[0.09291632821347287, 0.028289207031422736, 0.03905749442821321, 0.016962196976460734, 0.011670014952620142]","[0.29079593915125646, 0.0530185053283737, 0.03476087829373865, 0.166006087217484, 0.01391603447235965]","[0.05992455362938903, 0.18145119939671886, 0.04383411622950367, 0.014431193382020684, 0.016757726333604235]","[0.09367777910675766, 0.10367588212934788, 0.07541827057470643, 0.011573912175317962, 0.027482828602698635]","[0.06475549349308085, 0.0862007458025164, 0.13961703099584416, 0.01755230768440232, 0.02908709919635716]","[0.054108106350343584, 0.15759845842959824, 0.05913294096183746, 0.022024133353234266, 0.028332439053158995]","[0.11508944502447928, 0.11691204611632629, 0.08460122964426305, 0.025587661660249766, 0.01878884084687927]","[0.22783568211449184, 0.030380771505096535, 0.020301948188800992, 0.009605168297299554, 0.011642192689270381]","[0.2084400399441949, 0.15251545293135502, 0.032124079741062836, 0.03842029521802207, 0.040239162671132304]","[0.06967970571516684, 0.0547992584935357, 0.05447005095893742, 0.018854095366752425, 0.016748605832991835]"
