,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[71.7010134177674, 185.07431252132986, 40.38267762148716, 195.38138239410856, 44.98254797274255]","[67.2077179897701, 178.85070763396547, 106.65696703603022, 74.41414987288603, 35.13793189803565]","[81.81489327679918, 197.49182554957193, 33.34853399385877, 163.627087848136, 41.9186835524908]","[174.52087525638424, 70.44565933649638, 55.64974549762555, 79.23648467264123, 21.401794882214684]","[160.95896326818928, 90.55491862760844, 41.692883698911004, 433.13148285735394, 209.43421532826736]","[74.66878364945809, 264.1013140790828, 85.9685914418108, 210.6962176419512, 58.55309081026339]","[96.9878790273447, 237.32225794081893, 35.82718421287358, 169.93944822638383, 25.334767500133683]","[112.58062237137115, 183.9058263783166, 55.327644775682195, 173.48745288955195, 19.36229359773156]","[131.58502408360312, 68.76306402164607, 39.834781754260035, 297.88552737204066, 37.00220631171288]","[227.16912317498767, 263.0831855214616, 234.90333092592968, 522.3890482850832, 248.97275722903436]","[1536.4557356069104, 847.1881248646778, 107.22541050837565, 300.5926590111357, 345.0870383887643]","[102.97314533441153, 77.94278765655058, 129.59098633441295, 147.94121368068983, 72.47052353004818]","[34.233507821951775, 93.74891125485895, 30.92493419988896, 130.61848474344268, 15.056628672754782]"
ETH,"[8.26365224272339, 13.552972474724921, 10.50026644884953, 18.227330264452206, 3.1827874556116114]","[6.476811342952574, 14.611296777143783, 9.679097944216156, 35.94822674986435, 11.918479043843567]","[6.6922202677785965, 16.416963756528084, 7.517519817813131, 17.883688080697095, 2.8648541221845756]","[14.073951233240082, 14.031928641726584, 2.843448759697685, 7.939272788971265, 3.2625939537709185]","[5.97831505952801, 109.08134901873049, 53.43973058474534, 32.91657888753306, 42.77327724147016]","[15.40302388864311, 17.891901382673232, 12.506508177781964, 17.812682117385858, 8.850815948940065]","[5.8002704176531, 10.353503533735836, 4.707612755102747, 18.613761025465617, 12.05089712129761]","[8.849724476434583, 20.090100501259897, 12.811792148501844, 17.54382414892102, 6.820845296896763]","[16.93759903974815, 13.53646939913578, 11.835940723421771, 22.78953501243753, 4.821041873362317]","[17.386554325951526, 50.48485803390849, 24.494371183840762, 12.282092936882265, 11.88631497034664]","[12.306906110076643, 22.484577491781316, 33.21897809158937, 13.318699245268109, 14.179471261785604]","[7.023849983174845, 7.447180243323757, 7.775844780601074, 12.826972803372945, 2.47251854597871]","[7.055315915208035, 9.031597305022851, 4.82080686760186, 11.772183657961072, 4.762940067292673]"
BNB,"[0.9189698990762217, 0.6429579663317266, 0.5154493932636386, 2.505058757885504, 0.3249489496309511]","[1.0115408277782876, 1.422077040360403, 1.3998247989083101, 1.6905584813011187, 0.7797212059007091]","[1.1342504752325022, 0.9199628899925996, 0.8653317550733185, 1.1297556578297214, 0.37337982377198886]","[1.9526450651997793, 0.971508745203255, 0.47277074031475097, 0.6287489953917592, 0.3317038532563009]","[12.521107849098795, 29.465772461550003, 2.0536019956234477, 4.848230048518728, 14.977248601210839]","[0.704958005005284, 4.404705223469287, 1.0013798219927676, 1.0866414993971427, 0.3060313270732653]","[1.346441544651128, 0.9507656420143267, 1.1424587676409057, 1.8607369208224067, 1.5487717747822471]","[5.215628347671427, 0.8000568124126896, 0.9035410574479312, 0.9423720220127967, 1.4035609787085934]","[2.1121580182870874, 1.5286905376468616, 0.9639758232281957, 0.8867399432834658, 0.5710094107635093]","[2.293774813812529, 3.4015945890841692, 2.7310557197566108, 1.231038534123934, 1.0953253976558497]","[0.4872538260285688, 1.8254711288718928, 1.24630665968022, 0.5166123494634723, 0.8505111239620826]","[0.572755826363611, 0.5996197244371224, 2.2777338262246434, 2.394098765801777, 1.914107629941703]","[0.7849482201527498, 0.5753659412431708, 0.7120649463346932, 0.6196150242900872, 0.3591497998349537]"
XRP,"[0.0016469378172516108, 0.006696898742630881, 0.004444663851712082, 0.0021140389240743057, 0.0034812401190660695]","[0.002348208992563304, 0.011648479414008879, 0.003941650678893894, 0.002919559428856373, 0.001997038954737873]","[0.003969159882201602, 0.004078255777066843, 0.0031813421014513033, 0.0021355093699951437, 0.0005918229596214285]","[0.0007202842234821595, 0.0022994792675939523, 0.001127051934566248, 0.0017813514324145428, 0.0008184754885688447]","[0.05745478235500133, 0.06252041678714636, 0.0012085915607509192, 0.03313932257289219, 0.006736429142073988]","[0.0033056209638252596, 0.0033287261806639484, 0.003599826748070681, 0.0034257293856437827, 0.002078036988420811]","[0.0051545842971158365, 0.0033402928878378335, 0.0020888925103851735, 0.0036788571480349218, 0.0012512159011908227]","[0.003213820151937991, 0.002701054626856008, 0.003181788868513389, 0.004833628507202394, 0.001630159050791516]","[0.0016719393363430442, 0.005519755391154717, 0.0035832364659085553, 0.007770935106126986, 0.0035610440235827193]","[0.00515392688341494, 0.007235914964787352, 0.002615445571567729, 0.005376020137880227, 0.0030411246742390735]","[0.014038935391608847, 0.00703998203173761, 0.006412296810929158, 0.007940174026458363, 0.005128059396342343]","[0.0035149392551826752, 0.0026595407360929923, 0.0023739104249939713, 0.002017095416546593, 0.0013931561475930224]","[0.0013679625346991362, 0.0018631120020514119, 0.0022592049535703758, 0.0019256866596485467, 0.000748724072262186]"
ADA,"[0.0015623063786888692, 0.0019372688956562512, 0.0031915567216804427, 0.005881674682078538, 0.0007716276423341607]","[0.0068514421492527336, 0.00542320498238108, 0.0023757885761240202, 0.0076001946196400634, 0.001695712646752204]","[0.0018651048232051957, 0.002644654758081395, 0.013546993407775905, 0.0059008898584876485, 0.0013089810677456412]","[0.0013712718634030794, 0.0009124923195634297, 0.0028905335180730105, 0.0022786076661127728, 0.0023325208663119473]","[0.0356577068545566, 0.01882439019616236, 0.0014552022329255912, 0.028349914099940046, 0.001064899851908016]","[0.0028720111653022353, 0.005757117512724215, 0.0026681296022074415, 0.0077703826520301, 0.0015947512876187976]","[0.002331048958748274, 0.003144566347626964, 0.0025617966617781677, 0.00557287422044656, 0.0028424601961057456]","[0.002183271704570988, 0.002222215113955082, 0.004673220698963057, 0.006003679626219615, 0.001895626872430973]","[0.0014673689615400185, 0.0024735819972585855, 0.0024849540651715914, 0.005454593322616745, 0.004563262382806551]","[0.005275814995190649, 0.008529322179785817, 0.0020575320759215064, 0.00928607274930044, 0.0013223975954370563]","[0.013991263142983169, 0.008836003291505754, 0.0041019177462275555, 0.004723136497997428, 0.0029039505932753596]","[0.003929072511979426, 0.002590550154782073, 0.005684134494106209, 0.0016773014301777209, 0.002899668544855742]","[0.0017562388275096424, 0.002512017543028746, 0.002966964130050505, 0.0036741591910384322, 0.0014676742040398885]"
DOGE,"[0.00032192999569584575, 0.0012071697668669377, 0.0003205444319390231, 0.0010028707380955598, 0.00030070073250274416]","[0.000569876731851897, 0.00042232274970299715, 0.0005033886663597581, 0.0015089746686222701, 0.00037387575836564336]","[0.0005381505207903327, 0.00033975061581525664, 0.00025669713360189237, 0.0012704829855996777, 0.0009232820737907184]","[0.0002517096312955618, 0.0004676006303361118, 0.0006189171029046113, 0.0008357877150143755, 0.00021998510575551753]","[0.003375579119178621, 0.00269815133553413, 0.0006166741891316019, 0.0015218985013903247, 0.0012778965985423244]","[0.0005666483254792887, 0.00033734803729333493, 0.0005859653424224176, 0.001317099552606492, 0.0007682086386684378]","[0.00028803915661771145, 0.0007746290600730882, 0.0002926886797097192, 0.0013838930749236504, 0.0002089479862120104]","[0.0008481258376889678, 0.00031575839905229866, 0.0007504885096359621, 0.001709318342139728, 0.00014032543433754828]","[0.0010762002009886069, 0.0007107824291646464, 0.0003361846285106825, 0.0016548571460609635, 0.00016392164721766998]","[0.0003734073686272543, 0.00041815413615645743, 0.0005544400472049918, 0.00029851489678360993, 0.0006841714357860929]","[0.0008598462680716398, 0.000375714741300639, 0.0008552761547452607, 0.0015119630317854333, 0.0005076261235849016]","[0.0007437242789987063, 0.000339792192781759, 0.00032774310895134265, 0.0014771442921811594, 0.0011587257826974255]","[0.00025207772544591587, 0.0003867859136086452, 0.00031988791845475, 0.0010859442369260907, 0.0001600423155639005]"
MATIC,"[0.002367985716357978, 0.0021177250168308, 0.0034242651612290597, 0.009984051838328963, 0.007128973855219197]","[0.003368746360011514, 0.008142336156970612, 0.00630575575590189, 0.021993660211002002, 0.002482350693902749]","[0.0027860929759006407, 0.0017837371738883881, 0.0034037986656185043, 0.010673490951535324, 0.0010802295289720192]","[0.00769563690587296, 0.007320598630179264, 0.003799587776939951, 0.005594547953071645, 0.0008373006986245554]","[0.01971315379967953, 0.01081480013719966, 0.022815066868691593, 0.034747282125661076, 0.019868495368329832]","[0.002993613523571033, 0.0018077329137066893, 0.003587713665197581, 0.016431674258733004, 0.0013249996781830855]","[0.004619525148207051, 0.0032193004610904063, 0.007224001011388505, 0.0104320544373019, 0.0011500529425062368]","[0.004734130267195653, 0.004400168933345471, 0.004564031300630679, 0.012870886973420483, 0.003647696444543726]","[0.0017265288063623198, 0.0023703215497089107, 0.01302039025998716, 0.004998922731898852, 0.004998914382118147]","[0.007773591884055031, 0.009174153201547679, 0.004942909842633366, 0.01063159885578468, 0.004720676457418339]","[0.03677943061019545, 0.01662774502506978, 0.03430398584195235, 0.011153066449239855, 0.05861808753015368]","[0.001690570948745127, 0.0014456875476805873, 0.007563536613049613, 0.013546051617471057, 0.010835011018469726]","[0.003341310744979356, 0.002729174726661795, 0.002935942543746227, 0.008187057913226409, 0.001788167929124267]"
LINK,"[0.055361215006228294, 0.09194051735584033, 0.04120115959652026, 0.20071195731517072, 0.009774636076590121]","[0.0625376276700983, 0.06712999572489943, 0.032503589942049806, 0.20519181360060315, 0.0447918710960406]","[0.05296500153166243, 0.03251167951119211, 0.04717798622973763, 0.09771365253542544, 0.009692107074038508]","[0.03091694400899461, 0.03453137799683023, 0.018684229106964673, 0.04449923883316994, 0.012818996734138687]","[0.3793343394152858, 0.3794757022747877, 0.02707074616207708, 0.45966638715128055, 0.06770145385477525]","[0.04281077567301181, 0.027885282603630036, 0.05690466746006738, 0.14888611562082682, 0.00858072620289489]","[0.06537916939061857, 0.031219516832161155, 0.04762752316272102, 0.08547693024659764, 0.00729701676321544]","[0.05395013148269354, 0.021509417043830584, 0.07763327249666145, 0.09377476955396467, 0.009860000181803044]","[0.0373475810567427, 0.05428701189159719, 0.06794345773467246, 0.07974266229400324, 0.021465657731248023]","[0.08412450364821412, 0.02484917743051057, 0.0806816044563253, 0.12232111782597598, 0.04371726645252051]","[0.0816891635205388, 0.2008212234897153, 0.03646342176980304, 0.06841574028940096, 0.026091530361807457]","[0.048189897529017346, 0.0198693805166563, 0.0928784615869315, 0.07228078394497342, 0.07597001725924644]","[0.03176319743904271, 0.025399224533252506, 0.02502662426286085, 0.056950830163578964, 0.016591460623592565]"
ETC,"[0.09426436620405955, 0.07639315300349216, 0.0723063142750733, 0.5184334452330318, 0.10206041855749443]","[0.34897789576577176, 0.09174740215827315, 0.15946252038522035, 0.3692409919067253, 0.03480640901801528]","[0.11936914837320788, 0.05988908548570205, 0.09385941717976588, 0.22868866997542522, 0.04599220241206542]","[0.2855318678517687, 0.044915837267150045, 0.09684743036573347, 0.10084813269493019, 0.04320521535203186]","[0.17854014155182188, 0.10126059953237453, 0.10391597815940558, 0.3267158985154412, 0.09521171783711681]","[0.17784034024267795, 0.05371082091659596, 0.11190885915121214, 0.19471557034985648, 0.09347298258261401]","[0.1988914075541597, 0.05772295289498742, 0.12240056763333486, 0.24557738269501053, 0.0826856196768533]","[0.10861444072768904, 0.06398828374459291, 0.10680024264001281, 0.248751872460644, 0.05992872217361087]","[0.25430940870260194, 0.12782442029033145, 0.24420945630942162, 0.2417919480200122, 0.04988310384046557]","[0.22716344317627446, 0.20053839268661022, 0.17576967203630386, 0.3461120949301643, 0.056247616066667575]","[0.11628021263360606, 0.07206815867412995, 0.11881552304153932, 0.16363396031894448, 0.09992442440722059]","[0.08560781448748904, 0.05061484425628504, 0.09285913418392804, 0.3561707370123362, 0.040579829499322546]","[0.061388526727656365, 0.05865247381741604, 0.07971034089604671, 0.15121191714414098, 0.053858278341358944]"
XLM,"[0.0004278222967252511, 0.0008612509847551851, 0.00037301287268434686, 0.0014661978041688535, 0.0001781590717939691]","[0.001496715205364263, 0.0027466247883997943, 0.0006917538288239739, 0.001559643745706505, 0.0006778063700053018]","[0.00027769895644182607, 0.000556801869901213, 0.00025405836720287925, 0.0008554107819469627, 0.00016468299199251052]","[0.00015480967670881464, 0.0003322763213729677, 0.00016781988687199044, 0.00038174940814013103, 0.0001349137699307905]","[0.0027688766992514653, 0.001954070574359367, 0.000974719586837449, 0.0013027125752997305, 0.0003481789222369489]","[0.0011444621141051582, 0.0005084223647679746, 0.0006471785831139524, 0.0005332096735392821, 0.0003968082992401498]","[0.00026086263321844003, 0.0008038975776629261, 0.0012169664799334247, 0.0018177019600520742, 0.00043936661067193257]","[0.0007395974749610281, 0.0004951845520852967, 0.000563524877120488, 0.0006455878051795343, 0.0001122278040840213]","[0.0005659719539041158, 0.0004342242575435458, 0.0004459148246735679, 0.0010637419971917187, 0.0002774523565178834]","[0.0008231369186087564, 0.0011234941124544148, 0.0006849898653943519, 0.0006931274646664366, 0.00042917922082739865]","[0.0009900117566582376, 0.0014430842680415743, 0.0005536630208629991, 0.001327701116800974, 0.00021806240007545309]","[0.001394028152504335, 0.000755184146500192, 0.00041307194821208816, 0.0007376092388404986, 0.0008200599140175536]","[0.00033983143893347113, 0.00033557787619625383, 0.0004877723460238614, 0.0005461730152607047, 0.00022492890409027646]"
