,RandomForest,XGB,LightGBM,Prophet,NBEATS,RNN,LSTM,GRU,TCN,TFT,NHiTS,ARIMA,TBATS
BTC,"[3212.311970534104, 1265.940568816603, 1115.5939853855898, 1554.1347892237413, 682.0046850636274]","[2601.2579378447763, 2175.168793252636, 1063.9584895304536, 1282.23688508964, 1229.5880313612652]","[3269.5559448671784, 1692.3730037403163, 1308.976353290758, 3968.645852411845, 980.1203344544294]","[805.0361138993312, 1157.338766869131, 1770.4592379985625, 3115.784785404392, 1457.8665570162311]","[9286.418788679115, 4513.770794383331, 7085.850708209447, 2041.0805207242563, 963.3783462363895]","[3944.3580090087244, 3135.370885770207, 2337.6657843147354, 1661.508862057586, 1475.3588684280946]","[3433.2901660185316, 829.0805984176038, 1170.9818185135139, 2020.200514189623, 760.0754296081972]","[2937.173314619573, 1869.5087294676478, 1049.2712561517296, 1975.2070100980593, 1215.9889170866602]","[3401.549602198944, 1500.9922934510266, 1050.1367579437597, 2228.3228377095147, 772.1891244886382]","[5463.989136490954, 2167.442708330891, 1098.0841402384408, 2026.5726320705392, 4795.451336597216]","[4063.189928534134, 3574.825395548065, 2110.119179910186, 2839.370237192567, 7074.204949953378]","[1588.8955654846015, 2333.6273720088757, 1083.1384417293018, 3043.195450166273, 5256.1421777022115]","[2086.533249010697, 2580.4958160761876, 1120.6930177896738, 1925.1022416371334, 1503.6956084392145]"
ETH,"[267.9283830783113, 171.44714196026746, 86.99466943195736, 90.4491079183242, 114.0593705457291]","[315.5050096182939, 184.01737975049423, 97.39188080057093, 299.22011362854033, 216.8288286660003]","[344.52357318902114, 199.36859001299342, 86.23619569980762, 105.02456184074659, 62.40168162761186]","[164.94864368049537, 296.87616434615944, 186.67921164139602, 173.1540231476888, 71.46481358360495]","[1140.1008222500923, 573.3711586030288, 204.38232077247446, 342.4854623229415, 85.53415493724943]","[330.48634445619604, 116.2298145124285, 70.52281420764456, 76.08240991694996, 51.04247925376607]","[309.8488067338074, 129.18202654176486, 79.78033764669479, 88.51563989270616, 170.42294087580015]","[340.55407822408387, 126.02949337923431, 65.12580852607907, 88.347084320729, 74.09333897026576]","[298.0443813259845, 126.40928233205571, 76.48141361299359, 100.19342015161556, 190.36690647918735]","[331.31235292667185, 179.87553927289323, 63.173160795716704, 176.72299833418055, 96.74590072055797]","[455.89370459951533, 411.70007258421185, 91.55169184219575, 133.6838889217942, 112.21962186004458]","[178.71440238814, 292.3993852813726, 229.5702268319298, 176.50383725386197, 70.98351002929579]","[173.72604251089666, 180.04035487346889, 90.15175290858613, 129.77813773240638, 42.30414906640225]"
BNB,"[45.65032829949035, 9.979094407941528, 11.32924346816788, 30.169041949554586, 15.227525067500853]","[25.540888920104997, 27.25750035504815, 10.078563918982995, 18.84343024626964, 20.646625559135533]","[47.320388623458186, 10.79751552473837, 9.822292750482855, 15.558538916350257, 13.07766617150695]","[26.92579717632129, 22.636830806333148, 14.177828163203246, 44.06520242830246, 11.77913359454389]","[71.41471269508659, 21.44425781320037, 76.68122344403541, 36.41543581051374, 54.157356693329675]","[56.75967941380758, 11.768706053301567, 16.725651050371855, 19.916542965244297, 8.620972834757259]","[62.81044787552272, 16.693033519645674, 14.83728486925536, 20.340491146340963, 10.028682268545998]","[62.64639606383002, 15.787194220428374, 11.165152142350653, 15.566980552146227, 7.2214225563249546]","[56.865061507687166, 9.692314926078295, 25.179821952375146, 54.49259952005096, 41.079903372511936]","[62.87817276653269, 55.4588274379171, 13.823272286325818, 58.120265319637966, 42.1968286382824]","[72.75180988906425, 76.15854085387593, 8.34555488342579, 22.187242171539797, 15.920393632916374]","[8.528233992606575, 35.3493878270301, 8.872366165228765, 27.252122948195197, 66.31577724611313]","[27.505198897171127, 9.694677987498245, 9.103619451138082, 33.22407402245177, 15.547172501154753]"
XRP,"[0.04274085025505747, 0.011052917869312312, 0.01229607389435975, 0.026874158903136568, 0.06406320397556144]","[0.04012424876686373, 0.011785651245656418, 0.01761958843656647, 0.059281566674500616, 0.03151992605206008]","[0.05421597978717451, 0.01212275613001096, 0.010046951016157124, 0.0260980530838262, 0.06923163897115922]","[0.02876368598939563, 0.04148681345132514, 0.008088006419307892, 0.04430951913277573, 0.04484258186318852]","[0.014639315786354298, 0.030256060706854222, 0.01769107264841075, 0.045971249217675696, 0.12031960588062938]","[0.016947385833023125, 0.008774123000409556, 0.016904225146362088, 0.028120757140348267, 0.0802666614902997]","[0.03433983262022996, 0.012550968331072382, 0.015725969736874044, 0.028345599079149776, 0.09301768560082789]","[0.08539423714413563, 0.07743294257463891, 0.040797941963192794, 0.0477244164415654, 0.1334354433001139]","[0.010761258285137087, 0.033829798214744536, 0.029619234224784633, 0.057279410146817616, 0.1277771486299683]","[0.02351445125724539, 0.05157228719667226, 0.018488183722216053, 0.042258470469877, 0.11186766108267342]","[0.044358179600579445, 0.015464265206014217, 0.02452156595298152, 0.06000371689994449, 0.03748830948737207]","[0.06001870576972447, 0.05065574593491467, 0.06970194224020448, 0.05053956997132054, 0.04022460169050965]","[0.033772487376555006, 0.02931448340905197, 0.010872064408677058, 0.03124877819392925, 0.04248190099140826]"
ADA,"[0.0906004825277921, 0.013310797237414128, 0.022615163592745766, 0.03253906677823689, 0.036792855363665]","[0.09055159576373087, 0.06550146990404944, 0.032803853174888424, 0.02330390637347955, 0.023840694125066886]","[0.09340248958792466, 0.017307799956522655, 0.02423874441640423, 0.02685384328403983, 0.05519751165869101]","[0.04080228596192701, 0.05208146297575474, 0.024854215697352022, 0.04956499545444388, 0.020889944943737755]","[0.15981788478651363, 0.493902041803562, 0.031162319944214156, 0.9221018511760611, 0.06623979899014927]","[0.12694568625732208, 0.016801589471692076, 0.027648146890898062, 0.06169028230198422, 0.037958940545336425]","[0.11137637039623637, 0.01717989798255317, 0.025582267433528077, 0.0267756509671506, 0.046803039630157965]","[0.1427612848980113, 0.014310136453720874, 0.01992509309931436, 0.039375792208764596, 0.06532870915906037]","[0.12084870999691717, 0.01509892271998944, 0.026221689733654262, 0.0606310368136238, 0.0316350617598454]","[0.08804303505554133, 0.05587714741485477, 0.05564581751225812, 0.030856653997562995, 0.04569728654709978]","[0.05419366286705717, 0.030457740098457947, 0.12819370854839288, 0.013226583014382062, 0.05306877383153714]","[0.07825641440802641, 0.02606802208335352, 0.0755932509970025, 0.011247353952317962, 0.048029066312198186]","[0.05584737824556768, 0.02927857932822455, 0.024083662729956913, 0.029070495356898512, 0.02493946107770663]"
DOGE,"[0.01871702497418765, 0.0054221487427267194, 0.005754997405529068, 0.008997115732487005, 0.009009141167621871]","[0.023132440927258163, 0.004595385607461129, 0.003544250596108011, 0.006353232599003176, 0.012289697527040273]","[0.009603220790382883, 0.005100406705612849, 0.006651550909460798, 0.006819542475615438, 0.009751217813824665]","[0.005089030297724883, 0.008930356421320592, 0.003565553809983318, 0.01019745458769445, 0.011141038010664135]","[0.00896605920787298, 0.005043601868375648, 0.016302932498532843, 0.009277489064226516, 0.013285577573335323]","[0.01352017431597872, 0.010438355692257612, 0.005223479485364584, 0.009109635605901719, 0.012359868684043335]","[0.017983878825267502, 0.006096950321838761, 0.004492084719876599, 0.008713446039414052, 0.013231981574631966]","[0.016747122296573564, 0.007813311489897027, 0.004600252616219676, 0.010290362808134583, 0.012478766618746459]","[0.017620216665398404, 0.005318486971800837, 0.00661230686422949, 0.008687319837927254, 0.011945036371872324]","[0.019753556062977545, 0.023889825348616195, 0.009464189685849363, 0.0217616552968789, 0.02275441167414582]","[0.014520608984691697, 0.003358686017400652, 0.0036360375788710908, 0.013754299284381238, 0.023497253975681056]","[0.004940576622699557, 0.014922827560917075, 0.014261429207033778, 0.010968500311354263, 0.02303460340593683]","[0.012487611802958537, 0.0044973456648289886, 0.004301844608505955, 0.004775191490221602, 0.009556379714015266]"
MATIC,"[0.20550301911632535, 0.08594316263589187, 0.10865288571248055, 0.16788879108795265, 0.04686208769906306]","[0.24265331903470144, 0.10936065530730253, 0.12577356702702813, 0.14295556340903887, 0.07462347644548285]","[0.23421953736023463, 0.10301267581650675, 0.13814312957094121, 0.17908005133039404, 0.06260842331330085]","[0.10943914978115626, 0.12004212187474342, 0.16111422701522202, 0.1424350747902251, 0.12862907378187702]","[0.48613191108104603, 0.2645389256381344, 0.29120655672559964, 0.2779066663245979, 0.5190969363502275]","[0.20748295097857994, 0.288645120219758, 0.16580706316322064, 0.09572618305850521, 0.08379190121568748]","[0.22576420989148696, 0.09505846096388983, 0.16421072642104337, 0.32340430499032496, 0.05488735740396274]","[0.19265688586236313, 0.07782823117671378, 0.16285684308502815, 0.2048157510105522, 0.2084317233507679]","[0.18237066128651683, 0.08843587752093542, 0.1349682097760134, 0.1689231603842107, 0.038560790872417726]","[0.09769680826414752, 0.06753205291266198, 0.24532996168322518, 0.2683627269154076, 0.19500622827431488]","[0.2798022552064749, 0.16701966965310813, 0.11974286110441512, 0.3418601321090231, 0.07689192717081407]","[0.03066389147146632, 0.26329409324484054, 0.42465741445382527, 0.06043119755661546, 0.18825324603649735]","[0.12609464050576588, 0.0652452610972572, 0.14090357402280201, 0.06385909957641447, 0.04481054944858719]"
LINK,"[1.3629594398958769, 0.18740524567826888, 0.518683948653254, 0.8017498927002423, 0.27791351906383127]","[1.5330310697954057, 0.4579192731397391, 0.544422622373929, 1.1084746188995975, 0.6546135980348681]","[1.2223219728781465, 0.2306386453692736, 0.5770686786975042, 0.8230909604780505, 0.6980558338704888]","[1.1882641298820582, 0.3963817513697583, 0.37407008309947454, 0.4715409301818161, 0.2386273917675793]","[3.3580137633079055, 1.456952873390806, 1.9218627434620998, 2.2098988670677207, 3.192277799013792]","[1.0934855802374124, 0.18906810476820446, 0.5249906558413769, 0.7489261944102475, 0.36004370563493526]","[1.9574904747607353, 0.38431343923977085, 0.49068736754387376, 0.9328415409920406, 0.2998516171914754]","[1.8048334701088207, 0.6649858542794267, 0.6219658001550438, 1.2697399476702516, 0.7068537371982545]","[1.040269269470348, 0.3314603888068635, 0.5951451258336488, 0.6578704464747803, 0.22426322813414656]","[0.7685187304564132, 0.3403355059086968, 0.3889684321987525, 0.7517259188190357, 2.0850908598250344]","[1.528715285131566, 0.7147345696072037, 0.7195869550086611, 0.9434351985063458, 0.35663288996714454]","[1.153657861415755, 1.0077901749064218, 1.3083423940678336, 1.1735893224474852, 1.2730032179907196]","[0.767262808146842, 0.3846889939986803, 0.6209380392198299, 0.4628114823646167, 0.21206622325675725]"
ETC,"[5.736850740667116, 0.9886864536929281, 0.8232470977533992, 1.90609172766538, 1.458785666212485]","[7.710236934372912, 1.3857998346135434, 1.9763469724556488, 2.6131897643688244, 5.94203697201155]","[6.133603984768055, 1.015225339189209, 1.0915510356323306, 2.209195250483454, 2.1588826952979763]","[2.9040219186311083, 2.813250103988923, 1.1756818534516835, 2.4165690921529, 0.5075851382101467]","[11.825225361320959, 0.8794609023233093, 14.3182562722824, 4.556532848553045, 1.2576388654028117]","[6.348612004238193, 0.9441573482048954, 1.0664210963454288, 2.419024055051688, 1.640557775059713]","[6.307321424487928, 0.7631067262825544, 1.1712900622720692, 1.6585251031267283, 1.2092006895088387]","[6.015339143605715, 0.8048590500233969, 1.1975942058301225, 1.789770047635534, 1.3768232986659177]","[5.397774347107267, 0.8995094520498788, 2.0700927621680485, 3.143909152567993, 2.5389179629273606]","[7.2533901097336875, 2.8387779081285136, 2.174642218894012, 3.2999494391462507, 3.3445349760719734]","[5.852194897924833, 4.52703022401871, 11.601284789576862, 9.535494015870473, 0.8532017245751542]","[5.691215967960616, 5.7178057882986835, 5.653188195858464, 3.337082713965001, 3.442610463888224]","[3.4142329691503925, 1.623999311100559, 0.9906758000266739, 1.653654429178668, 0.746434934066314]"
XLM,"[0.015571804858641748, 0.003577093656978858, 0.005167364804120918, 0.004495614888621056, 0.014063897620585646]","[0.013694716362210011, 0.003912094452583804, 0.00606448175024077, 0.011503860918601512, 0.015952680653080885]","[0.015459523828891767, 0.0031576427179850737, 0.003215750347915588, 0.004018875606199729, 0.01406215385146436]","[0.006299756983768768, 0.01180522616783242, 0.004423933874555057, 0.009122034526379849, 0.007023135450540132]","[0.031086788814560697, 0.016145315224403864, 0.02201967948646339, 0.026251038650746832, 0.011226944386515008]","[0.018758824500055133, 0.0034164071149727876, 0.003310626324179692, 0.006715360822623865, 0.017811122335856865]","[0.017292958722033232, 0.0031408409611039636, 0.0034456611081537937, 0.005523753024343048, 0.017634613239856392]","[0.01056271855701171, 0.005499139273886996, 0.005728504003751128, 0.007581788290797759, 0.01794950267883433]","[0.02093330508959332, 0.0023293925523988845, 0.0038109755104139805, 0.010107044974669556, 0.014943498043317112]","[0.014864258686436302, 0.004268296632149418, 0.0038859177373018828, 0.005448188356863849, 0.016227871980427]","[0.015829476380263895, 0.011570256555219274, 0.0028061652824294, 0.009182644549394336, 0.018301125025616947]","[0.001993645483690655, 0.0014842523554418792, 0.0053480488637135185, 0.008490187449110448, 0.015341619797658673]","[0.010707933336939287, 0.0053672982524000925, 0.0038080419362502616, 0.005960453991647477, 0.009554625411376489]"
